ANX_i_c,STR_c,FREAZING_c,olderi,female,Juvenaile,PSS,inactive,HFD,FD,EBR,PBR
0.19566546762589931,-0.205563571,0.1135492428664639,0,1,0,0,1,0,0,0,1
-0.014334532,0.10066553867207056,-0.141860477,0,1,0,0,1,0,0,0,1
-0.264334532,-0.037286452,0.3081471246663313,0,1,0,0,1,0,0,0,0
-0.074334532,-0.051203194,-0.22699705,0,1,0,0,1,0,0,0,1
-0.074334532,-0.111853453,-0.202672315,0,1,0,0,1,0,0,0,0
-0.244334532,-0.126560229,-0.117535742,0,1,0,0,1,0,0,0,0
-0.254334532,-0.152145157,-0.166185212,0,1,0,0,1,0,0,0,1
-0.204334532,-0.045186786,0.10138687525397222,0,1,0,0,1,0,0,0,0
-0.104334532,-0.2335186,0.15003634570393903,0,1,0,0,1,0,0,0,1
-0.124334532,0.12078100509564993,-0.117535742,0,1,0,0,1,0,0,0,0
-0.014334532,-0.037286452,-0.081048639,0,1,0,0,1,0,0,0,1
-0.474334532,-0.170923644,-0.202672315,0,1,0,0,1,0,0,0,0
-0.064334532,-0.073445674,-0.214834683,0,1,0,0,1,0,0,0,0
-0.164334532,-0.036800277,-0.081048639,0,1,0,0,1,0,0,0,0
-0.104334532,-0.099881408,-0.202672315,0,1,0,0,1,0,0,0,1
-0.164334532,0.082373226,-0.105373374,0,1,0,0,1,0,0,0,0
-0.204334532,-0.03722568,0.1135492428664639,0,1,0,0,1,0,0,0,0
-0.114334532,-0.099881408,-0.117535742,0,1,0,0,1,0,0,0,0
-0.064334532,-0.242026652,-0.251321786,0,1,0,0,1,0,0,0,1
-0.304334532,-0.217717931,0.19868581615390585,0,1,0,0,1,0,0,0,0
-0.044334532,-0.097997482,0.15003634570393903,0,1,0,0,1,0,0,0,1
-0.124334532,-0.22744142,-0.117535742,0,1,0,0,1,0,0,0,1
-0.004334532,-0.212856187,-0.093211007,0,1,0,0,1,0,0,0,1
0.19566546762589931,-0.171592134,0.16219871331643076,0,1,0,0,1,0,0,0,1
0.19566546762589931,-0.154089855,-0.020236801,0,1,0,0,1,0,0,0,1
0.10566546762589935,-0.03722568,0.07706214,1,0,0,1,1,0,0,0,1
-0.094334532,0.010966359091395983,-0.020236801,1,0,0,1,1,0,0,0,0
0.13566546762589926,0.12072023329376608,0.21084818376639763,1,0,0,1,1,0,0,0,1
0.10566546762589935,-0.22002726,0.040575037,1,0,0,1,1,0,0,0,1
0.11566546762589935,0.084257152,0.031453261482144834,1,0,0,1,1,0,0,0,1
0.19566546762589931,0.1390125456608277,0.39328369795377327,1,0,0,1,1,0,0,1,0
0.12566546762589936,-0.098058253,0.064899772,1,0,0,1,1,0,0,0,1
0.045665468,-0.036861049,-0.053500876,1,0,0,1,1,0,0,0,1
0.015665467625899265,-0.084749229,0.11637091215256201,1,0,0,1,1,0,0,0,1
0.19566546762589931,0.20415991728039623,0.24733528660387283,1,0,0,1,1,0,0,1,0
0.10566546762589935,-0.051081651,0.040575037,1,0,0,1,1,0,0,0,1
0.095665468,-0.061595172,-0.162962185,1,0,0,1,1,0,0,0,1
0.19566546762589931,0.18155280697957582,0.2015074854400039,1,0,0,1,1,0,0,1,0
-0.014334532,-0.075572687,0.007128526,1,0,0,1,1,0,0,0,1
0.005665468,-0.121759256,-0.13863745,1,0,0,1,1,0,0,0,1
0.19566546762589931,0.13415080151011366,-0.041338509,1,0,0,1,1,0,0,1,0
0.19566546762589931,0.1816743505833437,0.27448169111495435,1,0,0,1,1,0,0,1,0
0.19566546762589931,0.28322403153138387,0.3081471246663313,1,0,0,1,1,0,0,1,0
0.095665468,-0.051932456,0.4419331684037402,1,0,0,1,1,0,0,0,1
0.045665468,-0.098058253,0.019473329383840554,1,0,0,1,1,0,0,0,1
0.025665467625899274,-0.1195107,0.07706214,1,0,0,1,1,0,0,0,1
0.11566546762589935,-0.03722568,0.1528580149900371,1,0,0,1,1,0,0,0,1
0.095665468,-0.098058253,0.21084818376639763,1,0,0,1,1,0,0,0,1
0.085665468,-0.158830055,-0.089319049,1,0,0,1,1,0,0,0,1
0.19566546762589931,0.15724408622600544,0.20257777378990321,1,0,0,1,1,0,0,1,0
0.10566546762589935,0.10072631047395442,-0.008074433,1,0,0,1,1,0,0,0,1
0.10566546762589935,-0.000276424,0.004087934,1,0,0,1,1,0,0,0,1
0.045665468,0.12102409230318573,-0.114714072,1,0,0,1,1,0,0,0,1
0.15566546762589928,-0.000580283,-0.016344843,1,0,0,1,1,0,0,0,1
0.19566546762589931,0.2303525638923683,0.4419331684037402,1,0,0,1,1,0,0,1,0
-0.154334532,-0.243849806,0.3324718598913148,1,0,0,0,1,0,0,0,1
0.035665468,-0.220209575,-0.101481417,1,0,0,0,1,0,0,0,1
-0.104334532,-0.225618266,-0.07822697,1,0,0,0,1,0,0,0,1
0.10566546762589935,-0.24397135,-0.044561536,1,0,0,0,1,0,0,0,1
-0.244334532,-0.254181013,-0.056723904,1,0,0,0,1,0,0,0,1
0.14566546762589927,-0.193469982,-0.162962185,1,0,0,0,1,0,0,0,1
-0.144334532,-0.204834309,0.07706214,1,0,0,0,1,0,0,0,1
-0.124334532,-0.193226895,0.007979892,1,0,0,0,1,0,0,0,1
-0.054334532,-0.255335677,0.004087934,1,0,0,0,1,0,0,0,1
-0.114334532,-0.247374571,0.02841267,1,0,0,0,1,0,0,0,1
-0.234334532,-0.051810912,-0.017013773,1,0,0,0,1,0,0,0,1
-0.284334532,-0.182956461,-0.17834758,1,0,0,0,1,0,0,0,0
-0.004334532,-0.213524677,-0.175124552,1,0,0,0,1,0,0,0,1
-0.104334532,-0.193226895,-0.081048639,1,0,0,0,1,0,0,0,1
-0.044334532,-0.226165212,-0.056723904,1,0,0,0,1,0,0,0,1
-0.214334532,-0.223855883,0.16609067095242808,1,0,0,0,1,0,0,0,0
0.005665468,-0.132515865,-0.138746911,1,0,0,0,1,0,0,0,1
-0.054334532,-0.240142726,-0.163022997,1,0,0,0,1,0,0,0,1
-0.024334532,-0.229750748,0.2379945882774792,1,0,0,0,1,0,0,0,1
0.12566546762589936,-0.212916959,0.12571161047895563,1,0,0,0,1,0,0,0,1
-0.144334532,-0.182348743,0.07706214,1,0,0,0,1,0,0,0,1
-0.044334532,-0.195171593,-0.017013773,1,0,0,0,1,0,0,0,1
-0.044334532,-0.181315622,-0.018765154,1,0,0,0,1,0,0,0,1
0.1756654676258993,-0.23218162,0.23517291899138115,1,0,0,0,1,0,0,0,1
0.015665467625899265,-0.225071319,-0.028507211,1,0,0,0,1,0,0,0,1
0.19566546762589931,0.23624742867510917,-0.017415132,1,1,0,1,1,0,0,1,0
0.19566546762589931,0.22348535027948463,0.079883809,1,1,0,1,1,0,0,1,0
0.19566546762589931,0.16392898443323733,0.35679659511629824,1,1,0,1,1,0,0,1,0
0.19566546762589931,0.23017024848671647,0.16219871331643076,1,1,0,1,1,0,0,1,0
0.065665468,0.10194174651163296,-0.017415132,1,1,0,1,1,0,0,0,1
0.19566546762589931,0.18155280697957582,0.28382238944134797,1,1,0,1,1,0,0,1,0
0.19566546762589931,0.2065907893557533,0.4419331684037402,1,1,0,1,1,0,0,1,0
-0.074334532,0.12078100509564993,-0.032399168,1,1,0,1,1,0,0,0,0
0.005665468,0.17122160065930841,-0.139038808,1,1,0,1,1,0,0,0,1
0.14566546762589927,0.4611030956456348,0.16219871331643076,1,1,0,1,1,0,0,0,1
0.035665468,0.12017328707681069,-0.032399168,1,1,0,1,1,0,0,0,1
0.065665468,-0.079340539,0.064899772,1,1,0,1,1,0,0,0,1
0.19566546762589931,0.12078100509564993,0.2594976542163645,1,1,0,1,1,0,0,1,0
0.065665468,0.18440908166812037,-0.089987979,1,1,0,1,1,0,0,0,1
0.065665468,-0.077942787,-0.032399168,1,1,0,1,1,0,0,0,1
0.19566546762589931,0.46529634997562574,0.18652344854141417,1,1,0,1,1,0,0,1,0
0.045665468,0.12078100509564993,-0.017004044,1,1,0,1,1,0,0,0,1
0.19566546762589931,0.18398367905493285,0.07706214,1,1,0,1,1,0,0,1,0
0.095665468,0.21801588810993128,0.052737405,1,1,0,1,1,0,0,0,1
0.055665468,-0.04397135,-0.126475082,1,1,0,1,1,0,0,0,1
0.19566546762589931,0.2537497076176798,0.2230105513788893,1,1,0,1,1,0,0,1,0
0.19566546762589931,0.2226345450531097,0.07706214,1,1,0,1,1,0,0,1,0
0.10566546762589935,-0.140537743,0.031635697,1,1,0,1,1,0,0,0,1
0.19566546762589931,0.19954126033721786,0.089224508,1,1,0,1,1,0,0,1,0
0.12566546762589936,-0.085843121,-0.089987979,1,1,0,1,1,0,0,0,1
0.19566546762589931,0.13226687565171202,0.4816432986585255,1,1,0,1,1,0,0,1,0
0.19566546762589931,0.21801588810993128,0.19868581615390585,1,1,0,1,1,0,0,1,0
0.085665468,-0.220148803,-0.114312714,1,1,0,1,1,0,0,0,1
0.19566546762589931,0.21801588810993128,0.47842027124121533,1,1,0,1,1,0,0,1,0
0.19566546762589931,0.15906724028252323,0.19868581615390585,1,1,0,1,1,0,0,1,0
0.19566546762589931,0.30127325669090976,-0.102150347,1,1,0,0,1,0,0,0,1
-0.094334532,0.1927348185262182,-0.202672315,1,1,0,0,1,0,0,0,0
-0.004334532,0.14527204125487214,-0.13863745,1,1,0,0,1,0,0,0,1
-0.004334532,0.1861714639227542,-0.105373374,1,1,0,0,1,0,0,0,1
-0.144334532,-0.072169466,-0.22699705,1,1,0,0,1,0,0,0,1
-0.064334532,0.11209063742624858,-0.102150347,1,1,0,0,1,0,0,0,1
-0.044334532,0.3097813089546594,-0.102150347,1,1,0,0,1,0,0,0,1
-0.114334532,-0.125466336,-0.032399168,1,1,0,0,1,0,0,0,1
0.10566546762589935,-0.182044884,-0.126475082,1,1,0,0,1,0,0,0,1
-0.004334532,0.090334332,-0.162962185,1,1,0,0,1,0,0,0,1
-0.174334532,0.092400574,-0.239159418,1,1,0,0,1,0,0,0,1
0.005665468,-0.050473933,0.006909604,1,1,0,0,1,0,0,0,1
-0.004334532,-0.041479706,-0.044561536,1,1,0,0,1,0,0,0,1
-0.014334532,0.13020063438765844,-0.032399168,1,1,0,0,1,0,0,0,0
0.045665468,-0.040385814,0.16219871331643076,1,1,0,0,1,0,0,0,1
0.075665468,0.146973652,-0.068886271,1,1,0,0,1,0,0,0,1
0.075665468,-0.188182836,-0.004851406,1,1,0,0,1,0,0,0,1
0.015665467625899265,0.15548170397137162,-0.020236801,1,1,0,0,1,0,0,0,1
-0.134334532,0.36502287686714807,-0.081048639,1,1,0,0,1,0,0,0,1
-0.054334532,0.29227903001208877,-0.117535742,1,1,0,0,1,0,0,0,1
0.065665468,-0.122853149,-0.089987979,1,1,0,0,1,0,0,0,1
0.055665468,0.055572862,-0.126475082,1,1,0,0,1,0,0,0,1
0.005665468,0.18137049157392404,0.064899772,1,1,0,0,1,0,0,0,1
0.025665467625899274,0.11999097167115896,0.02841267,1,1,0,0,1,0,0,0,1
0.035665468,0.081704736,0.031635697,1,1,0,0,1,0,0,0,1
-0.034334532,0.083527891,-0.017013773,1,1,0,0,1,0,0,0,0
0.015665467625899265,-0.000944914,0.079883809,1,1,0,0,1,0,0,0,1
0.035665468,0.16374666902758556,-0.089987979,1,1,0,0,1,0,0,0,1
0.045665468,-0.146614923,0.064899772,1,1,0,0,1,0,0,0,1
0.015665467625899265,-0.189155185,-0.017013773,1,1,0,0,1,0,0,0,1
0.19566546762589931,0.16374666902758556,0.2379945882774792,0,0,1,1,1,0,0,1,0
0.19566546762589931,0.1936463955544771,0.490582639,0,0,1,1,1,0,0,1,0
-0.044334532,-0.097997482,-0.008074433,0,0,1,1,1,0,0,0,0
0.055665468,-0.143029387,-0.129698109,0,0,1,1,1,0,0,0,1
0.19566546762589931,0.16933767480090678,0.27448169111495435,0,0,1,1,1,0,0,1,0
-0.074334532,-0.097997482,-0.056723904,0,0,1,1,1,0,0,0,0
0.19566546762589931,0.19978434754475355,-0.017013773,0,0,1,1,1,0,0,1,0
0.19566546762589931,0.15748717343354124,0.40544606556626506,0,0,1,1,1,0,0,1,0
0.005665468,-0.098179797,0.02841267,0,0,1,1,1,0,0,0,0
0.005665468,-0.146797239,0.15003634570393903,0,0,1,1,1,0,0,0,0
